,TX_HASH,BLOCK_TIMESTAMP,AMOUNT,ORIGINCHAINID,DESTINATIONCHAINID,ORIGIN_FROM_ADDRESS,ORIGIN_TO_ADDRESS,CONTRACT_ADDRESS,ROWNUMBER,COUNTER
10,0xb0910ef5c750500cba43b3472673e338aceb2f16b2c2e124b9fd9f0581bba8b0,2022-07-22 01:33:58.000,50.0,137,42161,0x02cc4dfbd06c447fec2578e88cb2a8353bfda0c9,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
11,0x13a80c1946d50759734021f549ca94222994a8ab2d707d0be2651b62e7774247,2022-07-22 05:33:16.000,62.010135,137,42161,0x031240dcdb76d7ec68b953187268b03a38866df5,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
12,0x0d2e381572441fa968e177adeffcffa37a7a481648c21e68da50e1d8098c4116,2022-07-22 02:42:36.000,51.0,137,42161,0x0318d38dcb790e4014935d708874833560bb0d40,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
13,0x45e4f36ac5c9d914bfd05e5eb1558f8c390a79bfa3abbecdd40e962e8b8913ed,2022-07-22 06:52:58.000,50.0,137,42161,0x0362630a31ebc56d06db4606efb19f26f9703a66,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
14,0x6b4293a37c9e2428b31436019c85a5f65e05b426a62ee6680cd9a3f8c9e4815b,2022-07-22 02:54:22.000,51.0,137,42161,0x037dbeb376900653e8b1744ccfd30f074f9f282a,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
15,0xa873d1b81b5b371f9d5d70f1eb94b220b00a57d05435582eac507a934ee262ae,2022-07-22 03:14:48.000,51.0,137,42161,0x03894d4ac41dd6c4c2f524ed4417c90fa46972c6,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
16,0x1286b134a52b0d714f389eb561657bd68c6efb742f1b2e5aa35856be64b5151a,2022-07-22 06:07:54.000,60.0,137,42161,0x040baa573b9dab3143425d7e0d11916961d385bf,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
17,0x890e9a37a866c097a3c50060f22da1225e9ec74fc01460c5ad0b854509b407b2,2022-07-22 06:51:10.000,200.0,137,42161,0x05054c258af0d56cab3c98b3923e93966fe797a3,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
18,0x9a18e1bbe4563a7f8a3b4fe44ae719932b6861b6138f023149c22175e829c05c,2022-07-22 07:13:06.000,51.0,137,42161,0x058fa7a78d81e4590e686bce7b97af586a4862a2,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
19,0x623bbac267efcadf0058bee798be54cf41ffd344c20c464af16741dffcd2ea02,2022-07-22 07:01:02.000,50.9,137,42161,0x05d9615f6621af83f8bff08a5b72bfbc370ee156,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
