,WALLET,CONTRACT_ADDRESS,RAW_AMOUNT,EVENT_COUNT,BLOCKCHAIN,ADDRESS_NAME,LABEL_TYPE,LABEL_SUBTYPE,PROJECT_NAME
74,0x4e3786f6441aad620d04a43d254cb06d4116c4d0,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-22491924598057,7,polygon,weth,dapp,token_contract,weth
75,0x29fc5e9ea1d669087db643cae2c81726e6a791ac,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-400276553305719,9,polygon,weth,dapp,token_contract,weth
76,0xffae606567923a901ccbb748915fdb63ea6f514e,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-78982785992624,7,polygon,weth,dapp,token_contract,weth
77,0x3e6a45901be8818f454e90a4194a19c885d7eb63,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-34067984356411,9,polygon,weth,dapp,token_contract,weth
78,0x4bedc3d156d5f3df3da48559cac02810f02b6fa8,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-10000000000000,1,polygon,weth,dapp,token_contract,weth
79,0xa3f4c522e450de244e3b9d6bec165e16d4a4522e,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-134309093620,14,polygon,weth,dapp,token_contract,weth
80,0xf1d0d8d8fe11474d87e963d0d732618620d3644b,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-380000000000000,4,polygon,weth,dapp,token_contract,weth
81,0x8fce137b268c88c8ea7ea02df22c877a5a80c8d8,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-5669195162862280,9,polygon,weth,dapp,token_contract,weth
82,0xf851ce56caec96c0dff74173afc15966a0070b8c,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-20777925302820,3,polygon,weth,dapp,token_contract,weth
83,0x5a4000748bc35c95d5e00566ee2f0e489033b42c,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-231671707972491,9,polygon,weth,dapp,token_contract,weth
84,0xc4676e5e99b823e54b3e6c32c8143bb441633eea,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-100000000000,1,polygon,weth,dapp,token_contract,weth
85,0x91d618ef64aa1c08a6f11c6ac3155619354712fa,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,292845556896433,9,polygon,weth,dapp,token_contract,weth
86,0x4c2bad6ded85c73dec25930c4d88d72a93512eff,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-28941219012181300,18,polygon,weth,dapp,token_contract,weth
87,0xa72945c86efeb5f357663a21bb1979a0934809ac,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,10074739072335,8,polygon,weth,dapp,token_contract,weth
88,0xea62985cef8823d9dd121acb7d6fb023c8888888,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-4,15,polygon,weth,dapp,token_contract,weth
89,0x366e58737164430af4aed2856840be9bb148bdc7,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,77904869400742,3,polygon,weth,dapp,token_contract,weth
90,0xfa1a845c164cfd72880a1f1bef64cef76a56fe41,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,5585382970640,12,polygon,weth,dapp,token_contract,weth
91,0xcb004317ef3ed46614ec6f9f2620322f6c60b002,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-92482683464830200,4,polygon,weth,dapp,token_contract,weth
92,0x2c16112b8f16d7efaf2191d798bbb2d16ef90a64,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-11000000000000,4,polygon,weth,dapp,token_contract,weth
93,0xa8b64347b0f9dcddda307f3d1cfefe4d38ad813a,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-106373949045480,3,polygon,weth,dapp,token_contract,weth
94,0xec8edfae340278b79a9a7ba58c8f97b36f3739ef,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,378030067337941,7,polygon,weth,dapp,token_contract,weth
95,0x17dcc6ce266c485038a69d9e6e01baec1b99cc22,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-22491955733625,7,polygon,weth,dapp,token_contract,weth
96,0x992fb4f41663388cc611e8ef25e714a1541e456f,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,985515338041530,5,polygon,weth,dapp,token_contract,weth
97,0x382cab376440f92d4943f8b47dd45645cf98be0c,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,5348857205053460,16,polygon,weth,dapp,token_contract,weth
98,0xa88595dc697b73f23b8c4fdd045ecf377059f197,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-156272674735260,7,polygon,weth,dapp,token_contract,weth
99,0xe9b211ee81892d2e0577a1b97d1dac4ff29dd132,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-16802556194695900,7,polygon,weth,dapp,token_contract,weth
100,0xf109f3b3a73b8201dfa53ad0039e893c163208f3,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-19961946314242,7,polygon,weth,dapp,token_contract,weth
101,0x515fad9044494cd323b211c2f1eec80c1098f4f2,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,35475240696524,3,polygon,weth,dapp,token_contract,weth
102,0x559b4ef61c40d37f63c15b82bf5dc864dd80a23b,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-252915899883063,4,polygon,weth,dapp,token_contract,weth
103,0xd0d3c22129c9d53c6c5f0bda74c46e2c4ffbff5a,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-660000000000000000,2,polygon,weth,dapp,token_contract,weth
104,0xd332f90e9eedaee3af94e8f3f71c3e4f2fdbee36,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,43664315808248,12,polygon,weth,dapp,token_contract,weth
105,0x51354b2a8d7d376686746b1fc318acacb291a4b1,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-500000000000000,3,polygon,weth,dapp,token_contract,weth
106,0xd773be87460bd7108a4d996729cf3655e0e8fa57,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-193404528869568,11,polygon,weth,dapp,token_contract,weth
107,0x3d20669ed7bad137b569c3b4ef15f592f863c21b,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-39057175402154,4,polygon,weth,dapp,token_contract,weth
108,0x81ba93b26bce8ca5d649b6607df15e6d45462d8f,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,147474397265663000,9,polygon,weth,dapp,token_contract,weth
109,0xd7d1e4c896ce7a4d4c82097e8c6f73148ee28830,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,617439677027683,5,polygon,weth,dapp,token_contract,weth
110,0xf2c6739bb84c1d97295f8ab24a49213705e554db,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-399967836719506,4,polygon,weth,dapp,token_contract,weth
111,0x43bf7325d42669c9f5afb2cd74ae426962e9e41e,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,37665695248604,4,polygon,weth,dapp,token_contract,weth
112,0x9a7d2bc79d18bd4d246f54feb6f80c438df62ae0,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,104606234695052000,18,polygon,weth,dapp,token_contract,weth
113,0x52b0c756d6f36af804c51211bd5a1fa4ab5dc911,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,9520548632,4,polygon,weth,dapp,token_contract,weth
114,0x867af6b39e3f113d62e6af8a3aeef1ff42d38669,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,385530822144,8,polygon,weth,dapp,token_contract,weth
115,0x38107186057c3f7f7b1cfd2a16ff1855fc7f7d5b,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,1315516998289300,7,polygon,weth,dapp,token_contract,weth
116,0xe388b0509ba3437008c046fa5b51fb79c9162576,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-380000000000000,4,polygon,weth,dapp,token_contract,weth
117,0x1c368801a0dd6b4c6a158bc9647e2903ba6265da,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,9618174331929,1,polygon,weth,dapp,token_contract,weth
118,0x55ec0220975ff00a30484a76e125f76c248338c1,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-8479116293,5,polygon,weth,dapp,token_contract,weth
119,0xd82292f8540e93b417a4a1380c96722719554d41,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-6772999859121470,4,polygon,weth,dapp,token_contract,weth
120,0x88b1c5da745171d7fca547972d28fa7b06468700,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,300087687012325,9,polygon,weth,dapp,token_contract,weth
121,0x77617db6d81909ba28b5fccad2db92e5b9e8ae86,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,54571941282564,12,polygon,weth,dapp,token_contract,weth
122,0x05dcaa0657a159291bdd5b4e2f0514df4fbc9fbf,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-605106613680928,11,polygon,weth,dapp,token_contract,weth
123,0xd26a0a35321c6793e47eb602f1676c915caf111c,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0,4,polygon,weth,dapp,token_contract,weth
124,0x2f3908af642de9385aace4e9f75d6755fb2cacc1,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,21549801134411100,3,polygon,weth,dapp,token_contract,weth
125,0xacf1222153e2b795cc35c57c32edd8b8eae86279,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0,14,polygon,weth,dapp,token_contract,weth
126,0x037dbeb376900653e8b1744ccfd30f074f9f282a,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-20000000000000,2,polygon,weth,dapp,token_contract,weth
127,0xb8120a7bb90d8015aa02a5fa2721ee513053342b,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,201042918003610,7,polygon,weth,dapp,token_contract,weth
128,0xbc9a201cf79ccded23f888cc8375c6ab6e0fa9ef,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,1173602220189520,18,polygon,weth,dapp,token_contract,weth
129,0x1cc5c8ae16b8c5857c41981cafe958d592c3ba7e,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,721773508464212,14,polygon,weth,dapp,token_contract,weth
130,0x611a6ed28cb59dee17df7b579bf3796b10e326a6,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,212536169423711,7,polygon,weth,dapp,token_contract,weth
131,0xeddd835fb96561f6d506f871d425b1efdca62e47,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,17000000000000,5,polygon,weth,dapp,token_contract,weth
132,0x5e4b293c7fda80b545561ec599bd7de5208901fe,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,3114776739763360,5,polygon,weth,dapp,token_contract,weth
133,0x0318d38dcb790e4014935d708874833560bb0d40,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-269824755698608,12,polygon,weth,dapp,token_contract,weth
134,0x5f1f6c7ae6944ef82966365946c1eeb2ea7a9505,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,101755196427575,6,polygon,weth,dapp,token_contract,weth
135,0xb5d915a0df1b6aea859104ab786f471908026337,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,1135004949128050,6,polygon,weth,dapp,token_contract,weth
136,0x8ac49074a093991c4973ab92b73883ae846386c9,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-6601780539656760,8,polygon,weth,dapp,token_contract,weth
137,0x65ff09cfdf329164e483f6d43d614d1cd149be62,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-112697557100511,3,polygon,weth,dapp,token_contract,weth
138,0xf67a829f909a13ad7ab495399916c5f4eb69994f,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,974144760386629,4,polygon,weth,dapp,token_contract,weth
139,0x70fba111574760e88e45cda9f4b008af8b17056a,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,17000000000000,5,polygon,weth,dapp,token_contract,weth
140,0x0949c8d6aa7ad809ea08216f327ecf8a3c6b6518,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-833349982424,13,polygon,weth,dapp,token_contract,weth
141,0xbc4e4fde163a02f058a5d7d68191f240ce720e8a,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-122492036202798,7,polygon,weth,dapp,token_contract,weth
142,0x437f40efdddfd6c63c90504d3df97f9c8326d25a,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-7033209774162780,8,polygon,weth,dapp,token_contract,weth
143,0x031240dcdb76d7ec68b953187268b03a38866df5,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0,2,polygon,weth,dapp,token_contract,weth
144,0x4ea2ea62d31ac6ccce58426c7461128f63e24298,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-42000000000000,3,polygon,weth,dapp,token_contract,weth
145,0xafa677370f7196d186fb596c6c5000e5255eec3c,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-5000000000000000,1,polygon,weth,dapp,token_contract,weth
146,0x59070f02fa3693bb7af1a41e80cc0ae3f1509e4b,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-9491874116717580,7,polygon,weth,dapp,token_contract,weth
147,0xe48608c7da53a6481a46bb247759b6d3b0edc6af,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,1026712688521380,16,polygon,weth,dapp,token_contract,weth
148,0x7b4c8bdcd85d9c1a5e083653d4de6e39e6bdf17f,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-15877803996827800,5,polygon,weth,dapp,token_contract,weth
149,0x07b4ef0e87ee263ef3b56d537b129c5a50c1041e,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,24150077976530100,6,polygon,weth,dapp,token_contract,weth
150,0x46b2e0e5bc105423c0ab96085280d57ed88ec655,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-21586019749478,4,polygon,weth,dapp,token_contract,weth
151,0x32c2741dc6621ccd32d868727be74dcdc7ab332f,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,548299143128893,4,polygon,weth,dapp,token_contract,weth
152,0x83af49b57454d8a2e8a8a10b27c1367bfff45105,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,17454940242305,5,polygon,weth,dapp,token_contract,weth
153,0x6a1588c07da2a6ddb54c1e5a1b4e9a89bcbc30f9,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,9431882671390730,15,polygon,weth,dapp,token_contract,weth
